date,commodity,market,min_price,max_price,modal_price,arrivals
2023-01-01,Onion,Lasalgaon (Nashik),2443.16,3109.48,2776.32,2927.7
2023-01-02,Onion,Lasalgaon (Nashik),2262.39,2879.41,2570.9,2532.7
2023-01-03,Onion,Lasalgaon (Nashik),2324.7,2958.72,2641.71,2177.1
2023-01-04,Onion,Lasalgaon (Nashik),2398.18,3052.24,2725.21,3172.1
2023-01-05,Onion,Lasalgaon (Nashik),2373.03,3020.23,2696.63,1307.4
2023-01-06,Onion,Lasalgaon (Nashik),2410.48,3067.88,2739.18,2534.4
2023-01-07,Onion,Lasalgaon (Nashik),2574.55,3276.71,2925.63,2263.1
2023-01-08,Onion,Lasalgaon (Nashik),2673.76,3402.96,3038.36,2235.1
2023-01-09,Onion,Lasalgaon (Nashik),2734.42,3480.16,3107.29,1482.4
2023-01-10,Onion,Lasalgaon (Nashik),2791.01,3552.19,3171.6,1246.9
2023-01-11,Onion,Lasalgaon (Nashik),2682.75,3414.41,3048.58,593.8
2023-01-12,Onion,Lasalgaon (Nashik),2769.4,3524.68,3147.04,1730.1
2023-01-13,Onion,Lasalgaon (Nashik),2584.35,3289.17,2936.76,2670.8
2023-01-14,Onion,Lasalgaon (Nashik),2543.94,3237.74,2890.84,2210.0
2023-01-15,Onion,Lasalgaon (Nashik),2495.92,3176.62,2836.27,3363.6
2023-01-16,Onion,Lasalgaon (Nashik),2333.57,2969.99,2651.78,750.4
2023-01-17,Onion,Lasalgaon (Nashik),2327.74,2962.58,2645.16,1945.6
2023-01-18,Onion,Lasalgaon (Nashik),2482.01,3158.93,2820.47,649.8
2023-01-19,Onion,Lasalgaon (Nashik),2446.26,3113.42,2779.84,3279.6
2023-01-20,Onion,Lasalgaon (Nashik),2334.28,2970.9,2652.59,1243.1
2023-01-21,Onion,Lasalgaon (Nashik),2329.18,2964.4,2646.79,1461.9
2023-01-22,Onion,Lasalgaon (Nashik),2409.05,3066.07,2737.56,2778.8
2023-01-23,Onion,Lasalgaon (Nashik),2425.53,3087.03,2756.28,3104.9
2023-01-24,Onion,Lasalgaon (Nashik),2422.89,3083.67,2753.28,3400.3
2023-01-25,Onion,Lasalgaon (Nashik),2294.14,2919.82,2606.98,1777.2
2023-01-26,Onion,Lasalgaon (Nashik),2341.87,2980.57,2661.22,1129.3
2023-01-27,Onion,Lasalgaon (Nashik),2386.45,3037.31,2711.88,3290.9
2023-01-28,Onion,Lasalgaon (Nashik),2509.56,3193.98,2851.77,2263.3
2023-01-29,Onion,Lasalgaon (Nashik),2646.85,3368.71,3007.78,3200.8
2023-01-30,Onion,Lasalgaon (Nashik),2700.44,3436.92,3068.68,964.2
2023-01-31,Onion,Lasalgaon (Nashik),2518.7,3205.62,2862.16,2966.4
2023-02-01,Onion,Lasalgaon (Nashik),2375.67,3023.57,2699.62,2995.7
2023-02-02,Onion,Lasalgaon (Nashik),2275.98,2896.7,2586.34,3430.8
2023-02-03,Onion,Lasalgaon (Nashik),2303.59,2931.85,2617.72,1545.6
2023-02-04,Onion,Lasalgaon (Nashik),2235.92,2845.72,2540.82,1660.7
2023-02-05,Onion,Lasalgaon (Nashik),2353.38,2995.2,2674.29,2528.6
2023-02-06,Onion,Lasalgaon (Nashik),2372.24,3019.22,2695.73,1295.9
2023-02-07,Onion,Lasalgaon (Nashik),2400.92,3055.72,2728.32,2699.1
2023-02-08,Onion,Lasalgaon (Nashik),2463.95,3135.93,2799.94,3333.8
2023-02-09,Onion,Lasalgaon (Nashik),2485.87,3163.83,2824.85,2044.2
2023-02-10,Onion,Lasalgaon (Nashik),2345.12,2984.7,2664.91,2203.4
2023-02-11,Onion,Lasalgaon (Nashik),2569.13,3269.81,2919.47,1165.5
2023-02-12,Onion,Lasalgaon (Nashik),2697.92,3433.72,3065.82,1073.7
2023-02-13,Onion,Lasalgaon (Nashik),2832.21,3604.63,3218.42,1132.6
2023-02-14,Onion,Lasalgaon (Nashik),2720.29,3462.19,3091.24,1330.7
2023-02-15,Onion,Lasalgaon (Nashik),2510.42,3195.08,2852.75,2819.8
2023-02-16,Onion,Lasalgaon (Nashik),2355.95,2998.49,2677.22,2807.4
2023-02-17,Onion,Lasalgaon (Nashik),2256.11,2871.41,2563.76,1139.2
2023-02-18,Onion,Lasalgaon (Nashik),2329.99,2965.45,2647.72,1614.0
2023-02-19,Onion,Lasalgaon (Nashik),2403.61,3059.13,2731.37,3389.8
2023-02-20,Onion,Lasalgaon (Nashik),2528.26,3217.78,2873.02,1646.0
2023-02-21,Onion,Lasalgaon (Nashik),2721.96,3464.32,3093.14,1679.6
2023-02-22,Onion,Lasalgaon (Nashik),2744.68,3493.24,3118.96,3044.4
2023-02-23,Onion,Lasalgaon (Nashik),2748.44,3498.02,3123.23,2840.8
2023-02-24,Onion,Lasalgaon (Nashik),2677.43,3407.63,3042.53,1797.1
2023-02-25,Onion,Lasalgaon (Nashik),2613.74,3326.58,2970.16,2926.3
2023-02-26,Onion,Lasalgaon (Nashik),2475.62,3150.78,2813.2,1469.3
2023-02-27,Onion,Lasalgaon (Nashik),2504.53,3187.59,2846.06,514.8
2023-02-28,Onion,Lasalgaon (Nashik),2513.29,3198.73,2856.01,1282.1
2023-03-01,Onion,Lasalgaon (Nashik),2452.73,3121.65,2787.19,3179.3
2023-03-02,Onion,Lasalgaon (Nashik),2359.38,3002.84,2681.11,676.1
2023-03-03,Onion,Lasalgaon (Nashik),2385.65,3036.29,2710.97,2865.4
2023-03-04,Onion,Lasalgaon (Nashik),2489.39,3168.31,2828.85,1929.0
2023-03-05,Onion,Lasalgaon (Nashik),2473.67,3148.31,2810.99,1144.7
2023-03-06,Onion,Lasalgaon (Nashik),2477.23,3152.83,2815.03,1356.6
2023-03-07,Onion,Lasalgaon (Nashik),2402.85,3058.17,2730.51,3214.2
2023-03-08,Onion,Lasalgaon (Nashik),2360.43,3004.19,2682.31,2959.7
2023-03-09,Onion,Lasalgaon (Nashik),2314.29,2945.45,2629.87,2311.3
2023-03-10,Onion,Lasalgaon (Nashik),2273.44,2893.46,2583.45,2792.0
2023-03-11,Onion,Lasalgaon (Nashik),2208.41,2810.71,2509.56,3007.6
2023-03-12,Onion,Lasalgaon (Nashik),2230.47,2838.79,2534.63,1584.7
2023-03-13,Onion,Lasalgaon (Nashik),2329.69,2965.07,2647.38,1538.9
2023-03-14,Onion,Lasalgaon (Nashik),2228.77,2836.61,2532.69,1091.5
2023-03-15,Onion,Lasalgaon (Nashik),2335.64,2972.64,2654.14,507.0
2023-03-16,Onion,Lasalgaon (Nashik),2279.71,2901.45,2590.58,2122.4
2023-03-17,Onion,Lasalgaon (Nashik),2230.28,2838.54,2534.41,491.7
2023-03-18,Onion,Lasalgaon (Nashik),2040.21,2596.63,2318.42,2398.7
2023-03-19,Onion,Lasalgaon (Nashik),1855.39,2361.41,2108.4,2212.5
2023-03-20,Onion,Lasalgaon (Nashik),1910.95,2432.11,2171.53,3072.7
2023-03-21,Onion,Lasalgaon (Nashik),1833.0,2332.9,2082.95,1379.2
2023-03-22,Onion,Lasalgaon (Nashik),1893.04,2409.32,2151.18,2864.5
2023-03-23,Onion,Lasalgaon (Nashik),1896.22,2413.38,2154.8,1953.2
2023-03-24,Onion,Lasalgaon (Nashik),1913.23,2435.01,2174.12,1015.4
2023-03-25,Onion,Lasalgaon (Nashik),2010.03,2558.21,2284.12,2403.5
2023-03-26,Onion,Lasalgaon (Nashik),1996.42,2540.9,2268.66,2222.4
2023-03-27,Onion,Lasalgaon (Nashik),1756.4,2235.42,1995.91,3489.5
2023-03-28,Onion,Lasalgaon (Nashik),1647.67,2097.03,1872.35,2767.6
2023-03-29,Onion,Lasalgaon (Nashik),1718.42,2187.08,1952.75,2649.0
2023-03-30,Onion,Lasalgaon (Nashik),1858.9,2365.88,2112.39,1439.6
2023-03-31,Onion,Lasalgaon (Nashik),1849.37,2353.75,2101.56,3287.6
2023-04-01,Onion,Lasalgaon (Nashik),1797.95,2288.31,2043.13,498.1
2023-04-02,Onion,Lasalgaon (Nashik),1704.67,2169.57,1937.12,1714.5
2023-04-03,Onion,Lasalgaon (Nashik),1743.91,2219.53,1981.72,3187.5
2023-04-04,Onion,Lasalgaon (Nashik),1629.72,2074.2,1851.96,630.3
2023-04-05,Onion,Lasalgaon (Nashik),1560.14,1985.64,1772.89,1927.1
2023-04-06,Onion,Lasalgaon (Nashik),1577.05,2007.15,1792.1,2795.0
2023-04-07,Onion,Lasalgaon (Nashik),1590.78,2024.64,1807.71,550.0
2023-04-08,Onion,Lasalgaon (Nashik),1581.66,2013.02,1797.34,1452.0
2023-04-09,Onion,Lasalgaon (Nashik),1653.64,2104.64,1879.14,2455.8
2023-04-10,Onion,Lasalgaon (Nashik),1579.84,2010.7,1795.27,1444.6
2023-04-11,Onion,Lasalgaon (Nashik),1515.39,1928.67,1722.03,2660.7
2023-04-12,Onion,Lasalgaon (Nashik),1499.56,1908.54,1704.05,1545.2
2023-04-13,Onion,Lasalgaon (Nashik),1511.8,1924.12,1717.96,2529.3
2023-04-14,Onion,Lasalgaon (Nashik),1499.96,1909.04,1704.5,1973.9
2023-04-15,Onion,Lasalgaon (Nashik),1626.2,2069.7,1847.95,765.9
2023-04-16,Onion,Lasalgaon (Nashik),1590.53,2024.31,1807.42,2168.5
2023-04-17,Onion,Lasalgaon (Nashik),1632.01,2077.11,1854.56,2049.3
2023-04-18,Onion,Lasalgaon (Nashik),1596.12,2031.42,1813.77,1615.8
2023-04-19,Onion,Lasalgaon (Nashik),1617.11,2058.15,1837.63,3063.1
2023-04-20,Onion,Lasalgaon (Nashik),1590.05,2023.71,1806.88,2285.0
2023-04-21,Onion,Lasalgaon (Nashik),1567.32,1994.76,1781.04,2526.6
2023-04-22,Onion,Lasalgaon (Nashik),1668.69,2123.79,1896.24,850.1
2023-04-23,Onion,Lasalgaon (Nashik),1643.47,2091.69,1867.58,1604.4
2023-04-24,Onion,Lasalgaon (Nashik),1750.9,2228.42,1989.66,1352.2
2023-04-25,Onion,Lasalgaon (Nashik),1693.28,2155.08,1924.18,2691.9
2023-04-26,Onion,Lasalgaon (Nashik),1656.83,2108.69,1882.76,779.6
2023-04-27,Onion,Lasalgaon (Nashik),1722.78,2192.62,1957.7,1384.8
2023-04-28,Onion,Lasalgaon (Nashik),1559.51,1984.83,1772.17,1636.6
2023-04-29,Onion,Lasalgaon (Nashik),1462.5,1861.36,1661.93,1686.1
2023-04-30,Onion,Lasalgaon (Nashik),1466.92,1867.0,1666.96,2661.8
2023-05-01,Onion,Lasalgaon (Nashik),1496.63,1904.81,1700.72,1141.3
2023-05-02,Onion,Lasalgaon (Nashik),1530.61,1948.05,1739.33,1473.0
2023-05-03,Onion,Lasalgaon (Nashik),1510.71,1922.73,1716.72,752.6
2023-05-04,Onion,Lasalgaon (Nashik),1429.58,1819.46,1624.52,2757.8
2023-05-05,Onion,Lasalgaon (Nashik),1478.93,1882.27,1680.6,1197.7
2023-05-06,Onion,Lasalgaon (Nashik),1504.66,1915.02,1709.84,1429.4
2023-05-07,Onion,Lasalgaon (Nashik),1439.64,1832.26,1635.95,1364.8
2023-05-08,Onion,Lasalgaon (Nashik),1446.03,1840.41,1643.22,1876.0
2023-05-09,Onion,Lasalgaon (Nashik),1550.76,1973.7,1762.23,2911.5
2023-05-10,Onion,Lasalgaon (Nashik),1553.39,1977.05,1765.22,2417.7
2023-05-11,Onion,Lasalgaon (Nashik),1479.05,1882.43,1680.74,1928.9
2023-05-12,Onion,Lasalgaon (Nashik),1453.33,1849.69,1651.51,3186.9
2023-05-13,Onion,Lasalgaon (Nashik),1432.17,1822.77,1627.47,2372.7
2023-05-14,Onion,Lasalgaon (Nashik),1451.14,1846.9,1649.02,3454.5
2023-05-15,Onion,Lasalgaon (Nashik),1501.24,1910.66,1705.95,2440.2
2023-05-16,Onion,Lasalgaon (Nashik),1444.12,1837.96,1641.04,574.2
2023-05-17,Onion,Lasalgaon (Nashik),1406.86,1790.54,1598.7,2636.8
2023-05-18,Onion,Lasalgaon (Nashik),1463.29,1862.37,1662.83,1803.9
2023-05-19,Onion,Lasalgaon (Nashik),1502.45,1912.21,1707.33,2972.5
2023-05-20,Onion,Lasalgaon (Nashik),1577.37,2007.57,1792.47,3097.5
2023-05-21,Onion,Lasalgaon (Nashik),1481.68,1885.78,1683.73,2049.0
2023-05-22,Onion,Lasalgaon (Nashik),1423.28,1811.44,1617.36,2474.8
2023-05-23,Onion,Lasalgaon (Nashik),1477.42,1880.36,1678.89,2388.8
2023-05-24,Onion,Lasalgaon (Nashik),1419.23,1806.29,1612.76,1521.5
2023-05-25,Onion,Lasalgaon (Nashik),1434.74,1826.04,1630.39,3314.8
2023-05-26,Onion,Lasalgaon (Nashik),1428.37,1817.93,1623.15,526.9
2023-05-27,Onion,Lasalgaon (Nashik),1384.59,1762.21,1573.4,583.9
2023-05-28,Onion,Lasalgaon (Nashik),1463.99,1863.27,1663.63,2250.9
2023-05-29,Onion,Lasalgaon (Nashik),1457.61,1855.13,1656.37,1856.9
2023-05-30,Onion,Lasalgaon (Nashik),1424.0,1812.36,1618.18,1425.9
2023-05-31,Onion,Lasalgaon (Nashik),1411.44,1796.38,1603.91,3078.8
2023-06-01,Onion,Lasalgaon (Nashik),1421.67,1809.39,1615.53,2569.1
2023-06-02,Onion,Lasalgaon (Nashik),1333.88,1697.66,1515.77,3227.4
2023-06-03,Onion,Lasalgaon (Nashik),1290.36,1642.28,1466.32,3257.3
2023-06-04,Onion,Lasalgaon (Nashik),1230.22,1565.74,1397.98,2799.2
2023-06-05,Onion,Lasalgaon (Nashik),1138.73,1449.29,1294.01,1020.5
2023-06-06,Onion,Lasalgaon (Nashik),1191.88,1516.94,1354.41,1975.0
2023-06-07,Onion,Lasalgaon (Nashik),1266.74,1612.22,1439.48,2482.5
2023-06-08,Onion,Lasalgaon (Nashik),1329.46,1692.04,1510.75,2840.3
2023-06-09,Onion,Lasalgaon (Nashik),1241.29,1579.83,1410.56,1826.6
2023-06-10,Onion,Lasalgaon (Nashik),1264.65,1609.55,1437.1,756.8
2023-06-11,Onion,Lasalgaon (Nashik),1301.19,1656.07,1478.63,770.8
2023-06-12,Onion,Lasalgaon (Nashik),1273.76,1621.14,1447.45,1885.0
2023-06-13,Onion,Lasalgaon (Nashik),1316.95,1676.11,1496.53,3137.8
2023-06-14,Onion,Lasalgaon (Nashik),1261.38,1605.4,1433.39,3206.3
2023-06-15,Onion,Lasalgaon (Nashik),1212.69,1543.43,1378.06,2026.2
2023-06-16,Onion,Lasalgaon (Nashik),1179.09,1500.65,1339.87,2241.1
2023-06-17,Onion,Lasalgaon (Nashik),1152.98,1467.42,1310.2,3093.7
2023-06-18,Onion,Lasalgaon (Nashik),1116.24,1420.68,1268.46,2160.6
2023-06-19,Onion,Lasalgaon (Nashik),1168.0,1486.54,1327.27,2217.3
2023-06-20,Onion,Lasalgaon (Nashik),1127.36,1434.82,1281.09,659.7
2023-06-21,Onion,Lasalgaon (Nashik),1115.88,1420.2,1268.04,2016.6
2023-06-22,Onion,Lasalgaon (Nashik),1097.76,1397.14,1247.45,3017.5
2023-06-23,Onion,Lasalgaon (Nashik),1205.93,1534.83,1370.38,1988.8
2023-06-24,Onion,Lasalgaon (Nashik),1169.99,1489.07,1329.53,1120.7
2023-06-25,Onion,Lasalgaon (Nashik),1198.6,1525.48,1362.04,665.2
2023-06-26,Onion,Lasalgaon (Nashik),1291.82,1644.14,1467.98,3039.3
2023-06-27,Onion,Lasalgaon (Nashik),1235.55,1572.51,1404.03,1078.3
2023-06-28,Onion,Lasalgaon (Nashik),1200.64,1528.08,1364.36,3244.0
2023-06-29,Onion,Lasalgaon (Nashik),1191.26,1516.16,1353.71,689.0
2023-06-30,Onion,Lasalgaon (Nashik),1138.1,1448.48,1293.29,1501.2
2023-07-01,Onion,Lasalgaon (Nashik),1202.31,1530.21,1366.26,3186.6
2023-07-02,Onion,Lasalgaon (Nashik),1186.52,1510.12,1348.32,2410.5
2023-07-03,Onion,Lasalgaon (Nashik),1242.74,1581.66,1412.2,517.4
2023-07-04,Onion,Lasalgaon (Nashik),1273.03,1620.21,1446.62,940.1
2023-07-05,Onion,Lasalgaon (Nashik),1277.29,1625.65,1451.47,2601.6
2023-07-06,Onion,Lasalgaon (Nashik),1328.47,1690.77,1509.62,3023.7
2023-07-07,Onion,Lasalgaon (Nashik),1313.94,1672.28,1493.11,2199.8
2023-07-08,Onion,Lasalgaon (Nashik),1369.98,1743.62,1556.8,852.9
2023-07-09,Onion,Lasalgaon (Nashik),1301.92,1656.98,1479.45,617.2
2023-07-10,Onion,Lasalgaon (Nashik),1267.89,1613.67,1440.78,3487.1
2023-07-11,Onion,Lasalgaon (Nashik),1332.6,1696.04,1514.32,2898.0
2023-07-12,Onion,Lasalgaon (Nashik),1231.28,1567.08,1399.18,2993.2
2023-07-13,Onion,Lasalgaon (Nashik),1260.59,1604.39,1432.49,2493.0
2023-07-14,Onion,Lasalgaon (Nashik),1246.27,1586.17,1416.22,1310.8
2023-07-15,Onion,Lasalgaon (Nashik),1226.69,1561.25,1393.97,723.2
2023-07-16,Onion,Lasalgaon (Nashik),1201.6,1529.3,1365.45,2886.4
2023-07-17,Onion,Lasalgaon (Nashik),1271.29,1618.01,1444.65,2118.8
2023-07-18,Onion,Lasalgaon (Nashik),1204.77,1533.35,1369.06,543.5
2023-07-19,Onion,Lasalgaon (Nashik),1253.08,1594.82,1423.95,2881.5
2023-07-20,Onion,Lasalgaon (Nashik),1283.43,1633.45,1458.44,2001.9
2023-07-21,Onion,Lasalgaon (Nashik),1268.73,1614.75,1441.74,2473.9
2023-07-22,Onion,Lasalgaon (Nashik),1271.55,1618.33,1444.94,427.4
2023-07-23,Onion,Lasalgaon (Nashik),1313.62,1671.88,1492.75,2353.7
2023-07-24,Onion,Lasalgaon (Nashik),1289.62,1641.34,1465.48,1602.5
2023-07-25,Onion,Lasalgaon (Nashik),1223.78,1557.54,1390.66,1847.5
2023-07-26,Onion,Lasalgaon (Nashik),1247.23,1587.39,1417.31,2173.1
2023-07-27,Onion,Lasalgaon (Nashik),1216.89,1548.77,1382.83,2309.7
2023-07-28,Onion,Lasalgaon (Nashik),1208.78,1538.44,1373.61,2886.6
2023-07-29,Onion,Lasalgaon (Nashik),1222.85,1556.35,1389.6,2938.2
2023-07-30,Onion,Lasalgaon (Nashik),1269.27,1615.43,1442.35,977.2
2023-07-31,Onion,Lasalgaon (Nashik),1370.39,1744.13,1557.26,3432.1
2023-08-01,Onion,Lasalgaon (Nashik),1393.96,1774.14,1584.05,3224.2
2023-08-02,Onion,Lasalgaon (Nashik),1404.9,1788.06,1596.48,945.6
2023-08-03,Onion,Lasalgaon (Nashik),1454.13,1850.71,1652.42,2526.0
2023-08-04,Onion,Lasalgaon (Nashik),1472.72,1874.36,1673.54,1625.1
2023-08-05,Onion,Lasalgaon (Nashik),1383.07,1760.27,1571.67,3214.2
2023-08-06,Onion,Lasalgaon (Nashik),1358.34,1728.8,1543.57,2037.6
2023-08-07,Onion,Lasalgaon (Nashik),1303.68,1659.24,1481.46,2070.5
2023-08-08,Onion,Lasalgaon (Nashik),1349.9,1718.06,1533.98,2469.9
2023-08-09,Onion,Lasalgaon (Nashik),1426.62,1815.7,1621.16,557.7
2023-08-10,Onion,Lasalgaon (Nashik),1452.45,1848.57,1650.51,1547.2
2023-08-11,Onion,Lasalgaon (Nashik),1401.91,1784.25,1593.08,847.6
2023-08-12,Onion,Lasalgaon (Nashik),1453.7,1850.16,1651.93,768.5
2023-08-13,Onion,Lasalgaon (Nashik),1407.47,1791.33,1599.4,902.3
2023-08-14,Onion,Lasalgaon (Nashik),1429.93,1819.91,1624.92,3426.0
2023-08-15,Onion,Lasalgaon (Nashik),1374.0,1748.72,1561.36,1989.7
2023-08-16,Onion,Lasalgaon (Nashik),1313.88,1672.22,1493.05,2174.8
2023-08-17,Onion,Lasalgaon (Nashik),1258.75,1602.05,1430.4,2512.4
2023-08-18,Onion,Lasalgaon (Nashik),1275.97,1623.97,1449.97,484.3
2023-08-19,Onion,Lasalgaon (Nashik),1259.98,1603.62,1431.8,2738.2
2023-08-20,Onion,Lasalgaon (Nashik),1298.42,1652.54,1475.48,3037.1
2023-08-21,Onion,Lasalgaon (Nashik),1251.11,1592.33,1421.72,1600.8
2023-08-22,Onion,Lasalgaon (Nashik),1293.13,1645.81,1469.47,2787.9
2023-08-23,Onion,Lasalgaon (Nashik),1279.65,1628.65,1454.15,1334.6
2023-08-24,Onion,Lasalgaon (Nashik),1360.78,1731.9,1546.34,1376.9
2023-08-25,Onion,Lasalgaon (Nashik),1430.32,1820.4,1625.36,1383.6
2023-08-26,Onion,Lasalgaon (Nashik),1431.28,1821.64,1626.46,1491.1
2023-08-27,Onion,Lasalgaon (Nashik),1450.41,1845.97,1648.19,2840.9
2023-08-28,Onion,Lasalgaon (Nashik),1476.82,1879.6,1678.21,3023.8
2023-08-29,Onion,Lasalgaon (Nashik),1515.44,1928.74,1722.09,2472.6
2023-08-30,Onion,Lasalgaon (Nashik),1510.56,1922.52,1716.54,1506.3
2023-08-31,Onion,Lasalgaon (Nashik),1586.87,2019.65,1803.26,3382.2
2023-09-01,Onion,Lasalgaon (Nashik),1565.06,1991.9,1778.48,1030.6
2023-09-02,Onion,Lasalgaon (Nashik),1464.1,1863.4,1663.75,3134.9
2023-09-03,Onion,Lasalgaon (Nashik),1492.88,1900.02,1696.45,3033.6
2023-09-04,Onion,Lasalgaon (Nashik),1500.81,1910.13,1705.47,2715.0
2023-09-05,Onion,Lasalgaon (Nashik),1563.76,1990.24,1777.0,3356.1
2023-09-06,Onion,Lasalgaon (Nashik),1611.94,2051.56,1831.75,507.8
2023-09-07,Onion,Lasalgaon (Nashik),1630.4,2075.06,1852.73,3142.1
2023-09-08,Onion,Lasalgaon (Nashik),1647.24,2096.48,1871.86,2094.3
2023-09-09,Onion,Lasalgaon (Nashik),1665.11,2119.23,1892.17,3055.7
2023-09-10,Onion,Lasalgaon (Nashik),1633.24,2078.66,1855.95,862.1
2023-09-11,Onion,Lasalgaon (Nashik),1570.32,1998.58,1784.45,2946.6
2023-09-12,Onion,Lasalgaon (Nashik),1536.21,1955.17,1745.69,3088.1
2023-09-13,Onion,Lasalgaon (Nashik),1547.23,1969.21,1758.22,1286.6
2023-09-14,Onion,Lasalgaon (Nashik),1434.66,1825.94,1630.3,1053.0
2023-09-15,Onion,Lasalgaon (Nashik),1431.87,1822.39,1627.13,2809.6
2023-09-16,Onion,Lasalgaon (Nashik),1400.27,1782.17,1591.22,2659.8
2023-09-17,Onion,Lasalgaon (Nashik),1418.65,1805.55,1612.1,511.6
2023-09-18,Onion,Lasalgaon (Nashik),1397.68,1778.86,1588.27,2425.0
2023-09-19,Onion,Lasalgaon (Nashik),1425.07,1813.73,1619.4,1742.6
2023-09-20,Onion,Lasalgaon (Nashik),1436.06,1827.72,1631.89,1113.7
2023-09-21,Onion,Lasalgaon (Nashik),1533.26,1951.42,1742.34,1459.4
2023-09-22,Onion,Lasalgaon (Nashik),1533.56,1951.8,1742.68,2927.1
2023-09-23,Onion,Lasalgaon (Nashik),1540.09,1960.11,1750.1,695.2
2023-09-24,Onion,Lasalgaon (Nashik),1562.64,1988.82,1775.73,2064.7
2023-09-25,Onion,Lasalgaon (Nashik),1477.57,1880.55,1679.06,1780.0
2023-09-26,Onion,Lasalgaon (Nashik),1441.7,1834.9,1638.3,1784.6
2023-09-27,Onion,Lasalgaon (Nashik),1549.71,1972.35,1761.03,495.2
2023-09-28,Onion,Lasalgaon (Nashik),1603.2,2040.44,1821.82,494.8
2023-09-29,Onion,Lasalgaon (Nashik),1629.18,2073.5,1851.34,792.5
2023-09-30,Onion,Lasalgaon (Nashik),1718.59,2187.29,1952.94,3361.9
2023-10-01,Onion,Lasalgaon (Nashik),1723.86,2194.0,1958.93,2793.8
2023-10-02,Onion,Lasalgaon (Nashik),1724.8,2195.2,1960.0,1298.9
2023-10-03,Onion,Lasalgaon (Nashik),1722.62,2192.42,1957.52,1320.2
2023-10-04,Onion,Lasalgaon (Nashik),1627.27,2071.07,1849.17,2035.5
2023-10-05,Onion,Lasalgaon (Nashik),1709.55,2175.79,1942.67,2993.7
2023-10-06,Onion,Lasalgaon (Nashik),1716.79,2185.01,1950.9,1904.6
2023-10-07,Onion,Lasalgaon (Nashik),1730.36,2202.28,1966.32,856.3
2023-10-08,Onion,Lasalgaon (Nashik),1727.92,2199.18,1963.55,3196.8
2023-10-09,Onion,Lasalgaon (Nashik),1706.41,2171.79,1939.1,1228.9
2023-10-10,Onion,Lasalgaon (Nashik),1585.66,2018.12,1801.89,2891.5
2023-10-11,Onion,Lasalgaon (Nashik),1621.09,2063.21,1842.15,3377.6
2023-10-12,Onion,Lasalgaon (Nashik),1788.65,2276.47,2032.56,2769.3
2023-10-13,Onion,Lasalgaon (Nashik),1877.23,2389.21,2133.22,2735.5
2023-10-14,Onion,Lasalgaon (Nashik),1872.82,2383.58,2128.2,2023.5
2023-10-15,Onion,Lasalgaon (Nashik),1824.37,2321.93,2073.15,2192.6
2023-10-16,Onion,Lasalgaon (Nashik),1845.36,2348.64,2097.0,1956.5
2023-10-17,Onion,Lasalgaon (Nashik),1890.55,2406.15,2148.35,523.1
2023-10-18,Onion,Lasalgaon (Nashik),1899.14,2417.08,2158.11,646.7
2023-10-19,Onion,Lasalgaon (Nashik),1978.19,2517.69,2247.94,2435.5
2023-10-20,Onion,Lasalgaon (Nashik),1921.7,2445.8,2183.75,931.5
2023-10-21,Onion,Lasalgaon (Nashik),2019.17,2569.85,2294.51,1857.3
2023-10-22,Onion,Lasalgaon (Nashik),2044.61,2602.23,2323.42,3389.5
2023-10-23,Onion,Lasalgaon (Nashik),2014.84,2564.34,2289.59,3341.5
2023-10-24,Onion,Lasalgaon (Nashik),2007.49,2554.99,2281.24,3300.0
2023-10-25,Onion,Lasalgaon (Nashik),2049.48,2608.42,2328.95,2253.3
2023-10-26,Onion,Lasalgaon (Nashik),2123.79,2703.01,2413.4,1518.2
2023-10-27,Onion,Lasalgaon (Nashik),2140.45,2724.21,2432.33,1999.4
2023-10-28,Onion,Lasalgaon (Nashik),2198.94,2798.64,2498.79,2245.8
2023-10-29,Onion,Lasalgaon (Nashik),2418.11,3077.59,2747.85,1651.7
2023-10-30,Onion,Lasalgaon (Nashik),2270.07,2889.17,2579.62,820.5
2023-10-31,Onion,Lasalgaon (Nashik),2108.63,2683.71,2396.17,648.1
2023-11-01,Onion,Lasalgaon (Nashik),2129.11,2709.77,2419.44,743.0
2023-11-02,Onion,Lasalgaon (Nashik),2064.52,2627.58,2346.05,2509.9
2023-11-03,Onion,Lasalgaon (Nashik),2089.39,2659.23,2374.31,2696.1
2023-11-04,Onion,Lasalgaon (Nashik),1979.64,2519.54,2249.59,571.3
2023-11-05,Onion,Lasalgaon (Nashik),2009.84,2557.98,2283.91,1909.2
2023-11-06,Onion,Lasalgaon (Nashik),2132.64,2714.26,2423.45,1264.6
2023-11-07,Onion,Lasalgaon (Nashik),2239.27,2849.99,2544.63,2777.6
2023-11-08,Onion,Lasalgaon (Nashik),2157.19,2745.51,2451.35,1491.2
2023-11-09,Onion,Lasalgaon (Nashik),2145.63,2730.81,2438.22,3108.3
